# SC: 1, 2, 3, 4
# 2008-01-01 00:00 <= date <= 2013-01-01 00:00
# 1.0 < AUX_rmag < 1.16
# Merging intervals if separated by at most 5 mins
# --------
2011-05-16T06:18:00Z,2011-05-16T06:32:00Z
2011-05-18T12:33:00Z,2011-05-18T12:47:00Z
2011-05-20T18:47:00Z,2011-05-20T19:01:00Z
2011-05-23T01:01:00Z,2011-05-23T01:16:00Z
2011-05-25T07:17:00Z,2011-05-25T07:31:00Z
2011-05-27T13:32:00Z,2011-05-27T13:47:00Z
2011-05-29T19:48:00Z,2011-05-29T20:02:00Z
2011-06-01T02:02:00Z,2011-06-01T02:17:00Z
2011-06-03T08:16:00Z,2011-06-03T08:31:00Z
2011-06-05T14:31:00Z,2011-06-05T14:46:00Z
2011-06-07T20:47:00Z,2011-06-07T21:01:00Z
2011-06-10T03:02:00Z,2011-06-10T03:17:00Z
2011-06-12T09:18:00Z,2011-06-12T09:32:00Z
2011-06-14T15:32:00Z,2011-06-14T15:47:00Z
2011-06-16T21:45:00Z,2011-06-16T22:00:00Z
2011-06-19T03:59:00Z,2011-06-19T04:14:00Z
2011-06-21T10:14:00Z,2011-06-21T10:28:00Z
2011-06-23T16:28:00Z,2011-06-23T16:43:00Z
2011-06-25T22:43:00Z,2011-06-25T22:57:00Z
2011-06-28T04:56:00Z,2011-06-28T05:11:00Z
2011-06-30T11:10:00Z,2011-06-30T11:24:00Z
2011-07-02T17:24:00Z,2011-07-02T17:38:00Z
2011-07-04T23:39:00Z,2011-07-04T23:53:00Z
2011-07-07T05:54:00Z,2011-07-07T06:08:00Z
2011-07-09T12:09:00Z,2011-07-09T12:23:00Z
2011-07-11T18:24:00Z,2011-07-11T18:37:00Z
2011-07-14T00:37:00Z,2011-07-14T00:50:00Z
2011-07-16T06:51:00Z,2011-07-16T07:04:00Z
2011-07-18T13:06:00Z,2011-07-18T13:18:00Z
2011-07-20T19:21:00Z,2011-07-20T19:33:00Z
2011-07-23T01:40:00Z,2011-07-23T01:52:00Z
